Date,Animal_ID,Use,D_forbs,Vegetation.cover,Vegetation.biomass,Heap.dung,Escape.impediment,Micro.habitat.type,Season,Rainfall,dist_rangerpost,dist_confluence,dist_road,dist_drainage,dist_river,Elevation,slope,TWI,Curvature,Tourism_footprint,Human_proximity,Tree_density,NDVI,dNDVI,dist_parkbound
8/8/2019,El_6666,1,2.5625,27.5,2.98E-06,0,2,Open woodland,Dry,0,6.850256127,2.278128662,11.85859767,1.205313901,3.582379025,1241.966309,0.37138173,17.681427,3.00E-06,0.03084512,0.066835366,1.322125615,0.357340695,-0.005603308,-1.204939833
8/8/2019,El_6666,0,2.6875,86.25,3.48E-06,0,3,Open woodland,Dry,0,6.446720872,1.878478557,11.93799056,0.976892593,3.869815888,1241.966309,0.37138173,17.681427,3.00E-06,0.0317558,0.066835366,1.596988306,0.364355808,-0.006218804,-1.026883635
8/8/2019,El_6666,0,1.1875,36.25,4.95E-06,0,1,Long grassland,Dry,0,6.611894207,2.198074767,12.39357349,1.585902196,3.359785838,1244.531982,0.2294727,16.26573753,3.00E-06,0.02943842,0.066835366,0.970135152,0.353192993,-0.004072465,-1.624739056
8/8/2019,El_6666,0,1.6875,5,4.12E-06,0,0,Long grassland,Dry,0,7.233963298,2.725168886,12.12419425,1.714292699,3.039963946,1241.211304,0.219053807,16.5811367,5.00E-06,0.02931929,0.066835366,0.884128879,0.35501278,-0.005088581,-1.709753783
8/8/2019,El_6666,0,0.875,51.25,3.85E-06,0,2,Open woodland,Dry,0,7.316641989,2.927375394,12.43623001,2.16608771,2.671281671,1244.531982,0.2294727,16.26573753,3.00E-06,0.02795116,0.066835366,1.588816023,0.36895564,-0.003585702,-2.166765562
7/4/2019,El_6666,1,0.3125,65,8.37E-06,0,4,Open woodland,Dry,4.134199142,8.90319072,3.072636845,11.19636256,0.707643623,1.013303135,1228.664185,0.37731385,16.44971085,-6.00E-06,0.02434091,0.066835366,1.376434968,0.464346781,0.000746733,-3.695664487
7/4/2019,El_6666,0,0.8125,63.75,1.15E-06,0,1,Open woodland,Dry,4.403748989,9.544118398,3.800853182,11.66423432,0.579753768,1.194412886,1229.658203,0.40651437,15.8864212,-2.00E-06,0.02391075,0.066835366,1.796023068,0.474278733,-0.001022371,-3.02180691
7/4/2019,El_6666,0,5.6875,45,4.63E-05,0,3,Open woodland,Dry,4.403748989,9.405244122,3.560152606,11.48427758,0.457380907,1.163218208,1229.658203,0.40651437,15.8864212,-2.00E-06,0.02403039,0.066835366,0.686422978,0.460998371,-0.000177486,-3.252385279
7/4/2019,El_6666,0,0.4375,50,1.81E-06,0,1,Open woodland,Dry,4.403748989,9.298482941,2.960654648,10.95642633,0.358863827,0.700265729,1228.664185,0.37731385,16.44971085,-6.00E-06,0.02333533,0.066835366,1.388681331,0.474708959,0.001669848,-3.849639204
7/4/2019,El_6666,0,0.9375,5,3.27E-06,0,0,Long grassland,Dry,4.134199142,8.141105822,3.613242207,11.87172836,1.508558635,1.855408559,1237.380127,0.375106408,15.55117607,0,0.02598161,0.066835366,0.74689556,0.463287026,-0.000456247,-2.859794573
7/11/2019,El_6666,1,2.6875,8.75,5.58E-06,0,2,Open woodland,Dry,3.488457441,6.83517081,3.193235315,11.18991905,2.794407932,2.794407932,1244.901489,0.516881407,15.74994659,3.00E-06,0.02589967,0.066835366,0.522636867,0.416344438,-0.001261506,-3.159074749
7/11/2019,El_6666,0,1.0625,20,6.06E-06,0,1,Long grassland,Dry,3.488457441,7.164134142,2.883290294,10.97152772,2.48879048,2.48879048,1234.319946,0.45550621,15.74994659,-6.00E-06,0.0253414,0.066835366,0.746975112,0.422486581,-0.000892825,-3.422417939
7/11/2019,El_6666,0,0.5625,32.5,1.45E-06,0,3,Long grassland,Dry,3.488457441,7.428239226,2.679781319,10.85844957,2.230427098,2.230427098,1234.319946,0.45550621,15.70833111,-6.00E-06,0.02483889,0.066835366,0.953436798,0.450111853,0.000482811,-3.581760736
7/11/2019,El_6666,0,0.375,55,2.38E-06,0,3,Open woodland,Dry,3.488457441,6.693155011,2.716112831,11.86903135,2.405837986,2.919806948,1244.901489,0.516881407,15.74994659,3.00E-06,0.02758859,0.066835366,1.17640962,0.43931267,-0.00182936,-2.525851041
